Date,Open,High,Low,Close,Adj Close,Volume
2020-07-20,421.09,421.46,414.97,420.45,420.45,11340900
2020-07-21,423.31,427.50,417.70,418.74,418.74,14173100
2020-07-22,420.00,424.45,415.28,424.23,424.23,11267900
2020-07-23,423.51,423.95,413.10,415.17,415.17,13835500
2020-07-24,412.97,413.05,402.75,407.78,407.78,14353400
2020-07-27,409.88,413.82,405.53,412.09,412.09,9935120
2020-07-28,412.11,412.97,405.81,407.15,407.15,9054380
2020-07-29,409.70,415.40,408.68,414.71,414.71,10101200
2020-07-30,412.15,415.30,406.11,408.32,408.32,13038700
2020-07-31,421.00,424.55,414.38,424.56,424.56,19932800
2020-08-03,430.02,441.91,429.70,440.31,440.31,17465200
2020-08-04,442.00,454.73,440.56,453.42,453.42,19312500
2020-08-05,456.99,466.90,454.83,465.07,465.07,14536000
2020-08-06,466.31,470.00,458.29,462.56,462.56,14131400
2020-08-07,459.68,460.70,452.76,458.44,458.44,10308900
2020-08-10,460.79,468.27,457.05,467.52,467.52,14786100
2020-08-11,464.51,466.74,453.23,454.26,454.26,12291800
2020-08-12,458.72,462.08,445.34,449.70,449.70,14072500
2020-08-13,452.88,453.45,445.59,450.88,450.88,10576800
